,profile_id,starts_at,ends_at,title,description,company,location
110,27,2015-05-01,2015-12-31,Disney College Program,,The Walt Disney Company,"Orlando, Florida, United States"
111,27,2011-09-01,2012-12-31,Web Designer,,Saint Louis University,"St Louis, Missouri, United States"
112,28,2021-01-01,,Sr. Software Enginee,BackBase banking solutions,SiTech,"Amman, Jordan"
113,29,2021-08-01,,Developer,,Google Developer Student Clubs,India
114,29,2021-06-01,,Committee Member,,Computer Club,India
115,30,2021-03-01,,Full Stack Development Trainee with MERN Specialization,,NxtWave,
116,30,2020-12-01,2021-01-31,Quality Inspection,,KIKUWA INDIA PRIVATE LIMITED,"Sri city, Chittor District, Andhra Pradesh"
117,30,2020-06-01,2020-12-31,Graduate Engineering Trainee,,NUCLEUS SATELLITE COMMUNICATIONS (MADRAS) PRIVATE LIMITED,"Sri City, Chittor District, Andhra Pradesh"
118,30,2019-05-01,2019-06-30,NonDestructive Testing,,NATTS(National Academy for Training and Technical Services),"Hyderabad, Telangana, India"
119,31,,,,,,
120,32,,,,,,
121,33,,,Integration Specialist,,FormFree®,"Athens, Georgia, United States"
122,33,,,Music Director,,Redeemer Athens,"Athens, GA"
123,34,2018-10-01,,"Vice President, Engineering",,AJACKUS,"Mumbai Area, India"
124,34,2015-09-01,2018-10-31,Technical Project Lead,"InstaReM is a FinTech Company with core current capabilities in cross border money remittances in Southeast Asia, with a sizeable connectivity within Asia Pacific, Europe and USA.Roles & Responsibilities➦ Spearheaded company-wide projects on extremely tight deadlines involving multiple disciplines and cross-functional teams.➦ Assisted the transformation of the start-up into the larger company by evolving the product, creating processes and communication channels to meet the needs of the larger organisation without undermining the energy and innovation.➦ Re-designed the UX, UI and IxD and present the information in favour of the customer.➦ Responsible for primary project status communication to senior management on a weekly basis.➦ Developed strong relationships to insure deliverables and growth.➦ Worked with release management team to manage release process.➦ Support daily activities to resolve production incidents swiftly and ensure smooth production run.",InstaReM,"Mumbai Area, India"
125,34,2013-09-01,2015-09-30,Head Of Engineering,"Ajackus is engineering partner of ambitious startups who help startups leverage latest technologies & deliver cutting-edge product to their audience. 🔗ajackus.comRoles & Responsibilities➦ Serviced requirements of clients from all around the world➦ Executed 50+ web-based projects in the span of 2 years using HTML5, CSS3, JS framework like JQuery, EmberJS, AngularJS & WordPress.",AJACKUS,"Mumbai Area, India"
126,34,2012-09-01,2013-08-31,Senior Subject Matter Expert,Roles and Responsibilities➦ Consulted two of the largest US Wireless and 4G providers AT&T and Sprint.➦ Redesigned billing and other modules to enhance system performance by using GDB and DBX debugger; reduced 2 hours of runtime in live production environment.➦ Trained and mentored 5 team members; provided production support and technical assistance to testing team for more than one and a half year as a single offshore resource.,Amdocs,Pune
127,34,2010-08-01,2012-08-31,Subject Matter Expert,Roles & Responsibilities➦ Developed frontend  modules in JSP and backend modules in C & Shell scripts while practicing Agile methodologies(SCRUM).➦ Worked with the core product teams in order to fix the bugs coming from product design.➦ Optimised performance of existing batch jobs by implementing Child-Parent Process programming in UNIX.,Amdocs,"Cyprus, Europe"
